sku_category.skuseq,sku_category.status,sku_category.unit,sku_category.cate,sku_category.fst_sales_dy
14029,ACTIVE,Kitchen,Tableware,20131126
24829,ACTIVE,Kitchen,Food Storage,20140328
60109,ACTIVE,Kitchen,Kitchen Accessories,20141105
69230,ACTIVE,Kitchen,Food Storage,20150323
69710,ACTIVE,Kitchen,Tableware,20150701
69950,ACTIVE,Kitchen,Kitchen Accessories,20141104
80990,ACTIVE,Kitchen,Kitchen Accessories,20141216
82190,ACTIVE,Kitchen,Tools & Gadgets,20141126
83870,ACTIVE,Kitchen,Kitchen Accessories,20141202
85310,ACTIVE,Kitchen,Tableware,20151202
86270,OTHER,Kitchen,Tableware,20150315
89630,ACTIVE,Kitchen,Tableware,20150205
91790,ACTIVE,Kitchen,Tableware,20141212
92030,ACTIVE,Kitchen,Cookware,20141212
92510,ACTIVE,Kitchen,Food Storage,20141116
94910,ACTIVE,Kitchen,Tableware,20150102
97550,ACTIVE,Kitchen,Tableware,20141211
99470,ACTIVE,Kitchen,Tableware,20161001
100910,ACTIVE,Kitchen,Food Storage,20141210
102590,ACTIVE,Kitchen,Cookware,20141130
103070,ACTIVE,Kitchen,Tools & Gadgets,20141204
107150,ACTIVE,Kitchen,Cookware,20150823
108350,ACTIVE,Kitchen,Food Storage,20150317
109070,ACTIVE,Kitchen,Kitchen Accessories,20141221
111230,ACTIVE,Kitchen,Tableware,20150105
114830,ACTIVE,Kitchen,Tools & Gadgets,20150106
126830,ACTIVE,Kitchen,Kitchen Accessories,20150106
127070,ACTIVE,Kitchen,Food Storage,20150512
128750,ACTIVE,Kitchen,Tools & Gadgets,20150123
130190,ACTIVE,Kitchen,Tableware,20150127
130670,ACTIVE,Kitchen,Tableware,20151002
135951,ACTIVE,Kitchen,Tableware,20150817
136431,ACTIVE,Kitchen,Tableware,20150203
141231,ACTIVE,Kitchen,Tools & Gadgets,20150325
145311,ACTIVE,Kitchen,Cookware,20160508
151311,ACTIVE,Kitchen,Food Storage,20150331
155631,ACTIVE,Kitchen,Tools & Gadgets,20150509
158271,ACTIVE,Kitchen,Tools & Gadgets,20150317
158511,ACTIVE,Kitchen,Tableware,20150408
159231,OTHER,Kitchen,Food Storage,20150216
160431,ACTIVE,Kitchen,Tableware,20150410
160671,ACTIVE,Kitchen,Tableware,20150304
161631,ACTIVE,Kitchen,Tools & Gadgets,20150410
306593,ACTIVE,Kitchen,Tools & Gadgets,20150330
306833,OTHER,Kitchen,Tableware,20150402
307793,ACTIVE,Kitchen,Tableware,20160717
320513,ACTIVE,Kitchen,Tableware,20150420
320993,ACTIVE,Kitchen,Tableware,20150607
323873,ACTIVE,Kitchen,Tableware,20150404
327233,ACTIVE,Kitchen,Tools & Gadgets,20150717
327954,ACTIVE,Kitchen,Cookware,20151010
328434,ACTIVE,Kitchen,Tools & Gadgets,20151012
328674,ACTIVE,Kitchen,Tableware,20150410
328914,ACTIVE,Kitchen,Tools & Gadgets,20150321
329154,ACTIVE,Kitchen,Food Storage,20150411
330354,ACTIVE,Kitchen,Tableware,20150425
330834,ACTIVE,Kitchen,Tableware,20150422
332514,ACTIVE,Kitchen,Kitchen Accessories,20150325
335154,OTHER,Kitchen,Tableware,20150408
337794,ACTIVE,Kitchen,Kitchen Accessories,20150703
339234,ACTIVE,Kitchen,Tableware,20150415
342114,ACTIVE,Kitchen,Tableware,20150429
342834,ACTIVE,Kitchen,Tableware,20150702
344274,ACTIVE,Kitchen,Tableware,20160211
345234,ACTIVE,Kitchen,Tableware,20150705
349554,ACTIVE,Kitchen,Tableware,20150503
350034,ACTIVE,Kitchen,Tools & Gadgets,20150814
350994,ACTIVE,Kitchen,Tableware,20160528
354114,ACTIVE,Kitchen,Food Storage,20160131
356994,ACTIVE,Kitchen,Tools & Gadgets,20150612
368274,ACTIVE,Kitchen,Kitchen Accessories,20150523
385314,ACTIVE,Kitchen,Tableware,20150606
387714,ACTIVE,Kitchen,Kitchen Accessories,20150613
393955,ACTIVE,Kitchen,Tableware,20150617
398515,ACTIVE,Kitchen,Kitchen Accessories,20150814
399235,ACTIVE,Kitchen,Tableware,20150706
417955,ACTIVE,Kitchen,Tableware,20150914
440515,ACTIVE,Kitchen,Food Storage,20160607
442675,ACTIVE,Kitchen,Food Storage,20150905
446755,ACTIVE,Kitchen,Kitchen Accessories,20150807
447955,ACTIVE,Kitchen,Tableware,20150922
455635,ACTIVE,Kitchen,Cookware,20151225
465476,ACTIVE,Kitchen,Tools & Gadgets,20150911
470996,ACTIVE,Kitchen,Food Storage,20151109
491396,ACTIVE,Kitchen,Cookware,20151129
493556,ACTIVE,Kitchen,Tableware,20151211
494036,ACTIVE,Kitchen,Tableware,20151118
501236,ACTIVE,Kitchen,Tools & Gadgets,20151017
508436,ACTIVE,Kitchen,Tableware,20151203
509636,ACTIVE,Kitchen,Food Storage,20161127
516116,ACTIVE,Kitchen,Tableware,20160521
519476,OTHER,Kitchen,Kitchen Appliance,20151029
524517,ACTIVE,Kitchen,Tools & Gadgets,20151226
524757,ACTIVE,Kitchen,Kitchen Accessories,20160106
540837,ACTIVE,Kitchen,Tableware,20151107
542037,ACTIVE,Kitchen,Tools & Gadgets,20151223
548037,ACTIVE,Kitchen,Tableware,20151217
553317,ACTIVE,Kitchen,Tableware,20151123
564357,ACTIVE,Kitchen,Tools & Gadgets,20160125
564837,ACTIVE,Kitchen,Kitchen Accessories,20151216
575157,ACTIVE,Kitchen,Kitchen Appliance,20151128
581157,ACTIVE,Kitchen,Tools & Gadgets,20160109
590998,ACTIVE,Kitchen,Tableware,20160519
593398,ACTIVE,Kitchen,Food Storage,20151205
593638,ACTIVE,Kitchen,Tableware,20160109
596998,ACTIVE,Kitchen,Kitchen Appliance,20160110
598198,ACTIVE,Kitchen,Tableware,20151214
606358,ACTIVE,Kitchen,Cookware,20151220
613318,ACTIVE,Kitchen,Tableware,20160121
615718,ACTIVE,Kitchen,Food Storage,20160129
627478,ACTIVE,Kitchen,Tableware,20151214
627718,ACTIVE,Kitchen,Tools & Gadgets,20151216
647158,ACTIVE,Kitchen,Kitchen Appliance,20151217
650278,ACTIVE,Kitchen,Kitchen Accessories,20160304
650518,ACTIVE,Kitchen,Tableware,20160110
650758,ACTIVE,Kitchen,Tableware,20160103
651238,ACTIVE,Kitchen,Food Storage,20151228
651478,ACTIVE,Kitchen,Tableware,20160106
1676054,ACTIVE,Kitchen,Tools & Gadgets,20151228
1681334,ACTIVE,Kitchen,Tools & Gadgets,20160517
1681574,ACTIVE,Kitchen,Tableware,20160223
1682054,ACTIVE,Kitchen,Tools & Gadgets,20160305
1682294,ACTIVE,Kitchen,Tableware,20160118
1686374,ACTIVE,Kitchen,Kitchen Accessories,20160113
1701734,ACTIVE,Kitchen,Tableware,20160620
1703174,ACTIVE,Kitchen,Tableware,20160526
1706295,ACTIVE,Kitchen,Kitchen Accessories,20160227
1711095,ACTIVE,Kitchen,Tools & Gadgets,20160106
1727415,ACTIVE,Kitchen,Kitchen Accessories,20160120
1735335,ACTIVE,Kitchen,Tableware,20160621
1736775,ACTIVE,Kitchen,Tableware,20160312
1738695,OTHER,Kitchen,Kitchen Appliance,20160114
1740375,ACTIVE,Kitchen,Tableware,20160618
1748295,ACTIVE,Kitchen,Food Storage,20160214
1764615,ACTIVE,Kitchen,Tableware,20160229
1767255,ACTIVE,Kitchen,Tableware,20160408
1770136,ACTIVE,Kitchen,Tools & Gadgets,20160903
1770376,ACTIVE,Kitchen,Kitchen Accessories,20160418
1792696,ACTIVE,Kitchen,Cookware,20160324
1801096,ACTIVE,Kitchen,Cookware,20160218
1810456,ACTIVE,Kitchen,Kitchen Accessories,20160316
1818856,ACTIVE,Kitchen,Cookware,20160317
1830856,ACTIVE,Kitchen,Food Storage,20160314
1835417,ACTIVE,Kitchen,Tableware,20161011
1839977,ACTIVE,Kitchen,Tableware,20160811
1857737,ACTIVE,Kitchen,Kitchen Accessories,20160313
1862777,ACTIVE,Kitchen,Kitchen Accessories,20160816
1871417,ACTIVE,Kitchen,Tableware,20160323
1871657,ACTIVE,Kitchen,Tableware,20161201
1871897,ACTIVE,Kitchen,Cookware,20160418
1874537,ACTIVE,Kitchen,Food Storage,20160503
1875737,ACTIVE,Kitchen,Kitchen Accessories,20160315
1890137,OTHER,Kitchen,Outdoor Kitchen,20160615
1890617,OTHER,Kitchen,Outdoor Kitchen,20160801
1899977,ACTIVE,Kitchen,Kitchen Accessories,20160327
1918938,ACTIVE,Kitchen,Food Storage,20160412
1924458,ACTIVE,Kitchen,Kitchen Accessories,20160407
1925898,ACTIVE,Kitchen,Tableware,20160321
1934778,ACTIVE,Kitchen,Tableware,20160413
1937898,ACTIVE,Kitchen,Tableware,20160527
1940778,ACTIVE,Kitchen,Tableware,20160611
1949418,ACTIVE,Kitchen,Tableware,20160813
1952538,ACTIVE,Kitchen,Food Storage,20160401
1952778,ACTIVE,Kitchen,Tableware,20160411
1964298,ACTIVE,Kitchen,Tableware,20160807
1964538,ACTIVE,Kitchen,Tableware,20160601
1965018,ACTIVE,Kitchen,Cookware,20160616
1967419,ACTIVE,Kitchen,Kitchen Accessories,20161209
1978699,ACTIVE,Kitchen,Tools & Gadgets,20160521
1979899,ACTIVE,Kitchen,Tableware,20160412
1982059,ACTIVE,Kitchen,Food Storage,20160411
1985419,ACTIVE,Kitchen,Cookware,20160508
1988779,ACTIVE,Kitchen,Tools & Gadgets,20161113
1998139,ACTIVE,Kitchen,Kitchen Accessories,20160418
2011339,ACTIVE,Kitchen,Tools & Gadgets,20160514
2014939,ACTIVE,Kitchen,Kitchen Accessories,20160416
2025019,ACTIVE,Kitchen,Tools & Gadgets,20160608
2028619,ACTIVE,Kitchen,Tableware,20160429
2032700,ACTIVE,Kitchen,Kitchen Accessories,20160531
2035580,ACTIVE,Kitchen,Tableware,20160619
2038460,ACTIVE,Kitchen,Tableware,20160503
2046380,ACTIVE,Kitchen,Food Storage,20160527
